4
PrintAlert(Alice)
PrintAlert(Bob)
RingAlert(Chris)
RingAlert(Dan)
38
MildInteract(x,y) & Take(p,x) & Take(p,y) => PrintAlert(p)
MediumInteract(x,y) & Take(p,x) & Take(p,y) => RingAlert(p)
SevereInteract(x,y) & Take(p,x) & Take(p,y) => RingAlert(p)
RingAlert(p) => PrintAlert(p)
SevereInteract(Iod,HHOx)
SevereInteract(Polyjuice,NaClx)
MildInteract(AntiSith,VitC)
MediumInteract(GeS,Ox)
MildInteract(Chlorophylx,BeautySleep)
MildInteract(MiniMix,Ba)
MediumInteract(Ba,NP)
MediumInteract(Ca,Tylenox)
SevereInteract(Tylenox,SquidOil)
MildInteract(QuickQuack,MiniMix)
MediumInteract(VitK,WolfBean)
MildInteract(Zn,Fe)
MediumInteract(OliveOil,MiniMix)
MildInteract(Fe,Wafarox)
MediumInteract(DragonClaw,QuickQuack)
Take(x,JediPill) => Take(x,AntiSith)
Take(x,Polyjuice) => Take(x,GeS)
Take(Bob,VitC)
Take(Bob,JediPill)
Take(Eric,FishOil)
Take(Alice,Iod)
Take(Eric,BarufExlixir)
Take(Alice,WolfBean)
Take(Chris,Hippomax)
Take(Bob,Iod)
Take(Dan,GeS)
Take(Alice,Pb)
Take(Dan,NaClx)
Take(Bob,VitK)
Take(Alice,Tylenox)
Take(Alice,QuickQuack)
Take(Eric,Wafarox)
Take(Bob,FishOil)
Take(Chris,Ox)
